iter	Passed	Remaining
0	8	4346
1	13	3317
2	15	2631
3	22	2739
4	27	2755
5	31	2594
6	37	2631
7	43	2646
8	46	2564
9	52	2550
10	57	2546
11	61	2495
12	65	2464
13	73	2537
14	94	3059
15	103	3126
16	108	3071
17	112	3006
18	117	2966
19	122	2943
20	126	2886
21	130	2836
22	137	2847
23	142	2818
24	145	2773
25	152	2771
26	156	2746
27	160	2704
28	166	2702
29	170	2673
30	174	2639
31	178	2603
32	184	2605
33	188	2583
34	192	2553
35	195	2525
36	201	2518
37	204	2491
38	208	2466
39	213	2453
40	217	2437
41	221	2416
42	225	2395
43	231	2400
44	236	2388
45	260	2567
46	266	2567
47	270	2548
48	274	2525
49	278	2507
50	282	2488
51	286	2468
52	290	2448
53	294	2436
54	298	2418
55	302	2400
56	307	2387
57	312	2380
58	316	2362
59	319	2345
60	323	2330
61	329	2325
62	333	2310
63	338	2303
64	341	2288
65	349	2295
66	353	2285
67	357	2272
68	363	2267
69	367	2255
70	371	2242
71	375	2234
72	379	2221
73	385	2221
74	408	2317
75	413	2306
76	417	2292
77	421	2278
78	426	2271
79	430	2260
80	434	2246
81	438	2232
82	443	2226
83	447	2217
84	451	2204
85	455	2191
86	462	2194
87	466	2183
88	470	2171
89	475	2166
90	479	2155
91	483	2142
92	486	2130
93	492	2125
94	496	2114
95	499	2102
96	503	2091
97	508	2084
98	511	2073
99	515	2063
100	521	2058
101	525	2048
102	529	2042
103	549	2093
104	560	2108
105	564	2097
106	568	2088
107	573	2081
108	577	2070
109	581	2060
110	585	2053
111	589	2043
112	593	2032
113	597	2023
114	602	2017
115	606	2007
116	610	1999
117	614	1990
118	620	1985
119	623	1975
120	627	1966
121	631	1957
122	637	1952
123	641	1943
124	644	1934
125	648	1924
126	653	1919
127	659	1915
128	663	1907
129	668	1903
130	674	1899
131	678	1890
132	682	1883
133	686	1876
134	707	1913
135	711	1904
136	716	1899
137	720	1890
138	724	1881
139	728	1872
140	733	1867
141	737	1859
142	741	1850
143	744	1841
144	750	1837
145	754	1829
146	758	1821
147	762	1812
148	768	1811
149	773	1804
150	777	1796
151	782	1791
152	786	1783
153	790	1775
154	794	1768
155	802	1768
156	806	1761
157	809	1752
158	814	1747
159	820	1743
160	825	1738
161	834	1741
162	839	1735
163	867	1777
164	872	1771
165	876	1763
166	882	1760
167	888	1756
168	899	1761
169	908	1762
170	915	1760
171	923	1762
172	931	1760
173	937	1756
174	941	1747
175	946	1742
176	950	1735
177	954	1726
178	958	1719
179	963	1712
180	968	1706
181	972	1698
182	977	1692
183	981	1685
184	985	1677
185	989	1669
186	994	1664
187	998	1656
188	1002	1648
189	1005	1641
190	1029	1665
191	1034	1659
192	1039	1654
193	1045	1648
194	1050	1642
195	1054	1635
196	1059	1629
197	1064	1623
198	1069	1617
199	1074	1611
200	1077	1603
201	1082	1596
202	1086	1588
203	1091	1583
204	1094	1575
205	1099	1568
206	1102	1561
207	1107	1554
208	1111	1547
209	1115	1540
210	1119	1532
211	1123	1526
212	1127	1519
213	1131	1512
214	1135	1505
215	1140	1499
216	1144	1492
217	1148	1485
218	1152	1478
219	1156	1472
220	1163	1469
221	1212	1518
222	1227	1524
223	1235	1522
224	1244	1521
225	1257	1524
226	1262	1518
227	1271	1517
228	1277	1511
229	1288	1512
230	1292	1505
231	1300	1501
232	1304	1494
233	1308	1487
234	1315	1483
235	1320	1477
236	1325	1470
237	1332	1466
238	1336	1459
239	1366	1480
240	1372	1474
241	1377	1468
242	1383	1462
243	1388	1456
244	1395	1452
245	1399	1445
246	1410	1445
247	1414	1437
248	1418	1429
249	1423	1423
250	1429	1418
251	1435	1412
252	1444	1410
253	1448	1402
254	1452	1395
255	1457	1388
256	1462	1382
257	1466	1375
258	1471	1368
259	1479	1365
260	1484	1359
261	1492	1355
262	1501	1352
263	1514	1353
264	1519	1347
265	1533	1349
266	1548	1350
267	1553	1344
268	1561	1341
269	1586	1351
270	1593	1346
271	1599	1340
272	1609	1337
273	1614	1331
274	1624	1328
275	1630	1323
276	1635	1316
277	1643	1312
278	1648	1306
279	1661	1305
280	1672	1303
281	1682	1300
282	1691	1296
283	1696	1289
284	1704	1285
285	1709	1278
286	1714	1272
287	1746	1285
288	1754	1281
289	1758	1273
290	1763	1266
291	1769	1260
292	1773	1253
293	1777	1245
294	1783	1239
295	1789	1233
296	1795	1226
297	1803	1222
298	1808	1215
299	1812	1208
300	1819	1203
301	1827	1197
302	1834	1192
303	1839	1186
304	1843	1178
305	1851	1174
306	1857	1167
307	1864	1162
308	1869	1155
309	1873	1148
310	1880	1142
311	1919	1156
312	1923	1149
313	1931	1143
314	1936	1137
315	1941	1130
316	1948	1124
317	1952	1117
318	1956	1109
319	1964	1105
320	1969	1098
321	1975	1092
322	1980	1085
323	1984	1077
324	1988	1070
325	1996	1065
326	2001	1058
327	2005	1051
328	2011	1045
329	2015	1038
330	2019	1031
331	2026	1025
332	2030	1018
333	2034	1011
334	2041	1005
335	2045	998
336	2081	1006
337	2085	999
338	2093	994
339	2105	990
340	2116	986
341	2126	982
342	2132	976
343	2147	974
344	2160	970
345	2173	967
346	2177	960
347	2187	955
348	2193	949
349	2199	942
350	2207	936
351	2211	929
352	2214	922
353	2221	916
354	2227	909
355	2258	913
356	2262	906
357	2268	899
358	2271	892
359	2275	884
360	2279	877
361	2284	870
362	2289	863
363	2292	856
364	2298	850
365	2302	843
366	2306	835
367	2311	828
368	2317	822
369	2322	815
370	2326	808
371	2331	802
372	2335	795
373	2338	787
374	2342	780
375	2348	774
376	2352	767
377	2356	760
378	2360	753
379	2365	746
380	2369	739
381	2373	733
382	2378	726
383	2382	719
384	2386	712
385	2390	706
386	2396	699
387	2401	693
388	2406	686
389	2413	680
390	2420	674
391	2425	668
392	2431	661
393	2437	655
394	2444	649
395	2451	643
396	2480	643
397	2525	647
398	2536	642
399	2548	637
400	2559	631
401	2603	634
402	2615	629
403	2626	624
404	2685	630
405	2710	627
406	2750	628
407	2766	623
408	2784	619
409	2801	614
410	2811	608
411	2816	601
412	2828	595
413	2835	589
414	2843	582
415	2848	575
416	2857	568
417	2910	570
418	2922	564
419	2941	560
420	3026	567
421	3037	561
422	3042	553
423	3048	546
424	3060	540
425	3068	532
426	3074	525
427	3080	518
428	3089	511
429	3096	504
430	3105	497
431	3111	489
432	3121	483
433	3128	475
434	3137	468
435	3143	461
436	3155	454
437	3159	447
438	3167	440
439	3174	432
440	3182	425
441	3187	418
442	3191	410
443	3198	403
444	3205	396
445	3213	389
446	3223	382
447	3235	375
448	3246	368
449	3251	361
450	3256	353
451	3270	347
452	3277	340
453	3284	332
454	3291	325
455	3304	318
456	3313	311
457	3322	304
458	3332	297
459	3337	290
460	3343	282
461	3354	275
462	3366	269
463	3371	261
464	3379	254
465	3384	246
466	3398	240
467	3404	232
468	3414	225
469	3419	218
470	3427	211
471	3432	203
472	3465	197
473	3470	190
474	3476	182
475	3480	175
476	3483	167
477	3489	160
478	3493	153
479	3497	145
480	3501	138
481	3511	131
482	3515	123
483	3519	116
484	3524	109
485	3528	101
486	3532	94
487	3538	87
488	3544	79
489	3549	72
490	3556	65
491	3563	57
492	3567	50
493	3575	43
494	3581	36
495	3587	28
496	3594	21
497	3600	14
498	3632	7
499	3637	0
